Date,New_Cases,Total_Cases,Deaths
2021-06-01,4093,7644579,1647
2021-06-02,78258,7691079,4124
2021-06-03,23042,7708388,3563
2021-06-04,53930,7764618,1010
2021-06-05,45413,7864274,860
2021-06-06,94623,7895301,1398
2021-06-07,98883,7968842,3722
2021-06-08,34756,8029163,1377
2021-06-09,54268,8031119,831
2021-06-10,40214,8106250,464
2021-06-11,82871,8155158,1634
2021-06-12,29602,8234497,2782
2021-06-13,54331,8261460,3736
2021-06-14,49901,8301903,3157
2021-06-15,64416,8341966,4099
2021-06-16,33196,8423784,4816
2021-06-17,6626,8429487,2200
2021-06-18,8424,8495615,926
2021-06-19,13857,8568714,3996
2021-06-20,20982,8595563,2885
2021-06-21,77961,8628423,1450
2021-06-22,2980,8661008,4410
2021-06-23,49290,8684023,745
2021-06-24,27431,8762562,3578
2021-06-25,85976,8807147,3348
2021-06-26,83711,8835105,3025
2021-06-27,27385,8862122,2899
2021-06-28,39158,8939829,971
2021-06-29,24019,8986179,2999
